ID,Archetype,City Type,Income Level,Age,Health Consciousness (1-10),Price Sensitivity (1-10),Brand Loyalty (1-10),Distribution Weight
7654,Budget-Conscious Mother,Tier-2,Medium,40,5.10,8.96,4.12,18
7655,Budget-Conscious Mother,Tier-2,Medium,47,6.92,8.11,4.92,18
7656,Budget-Conscious Mother,Tier-2,Medium,48,6.95,7.08,3.84,18
7657,Budget-Conscious Mother,Tier-2,Medium,60,5.69,7.34,4.17,18
7658,Budget-Conscious Mother,Tier-2,Medium,55,6.25,7.55,4.30,18
7659,Budget-Conscious Mother,Tier-2,Medium,24,6.18,8.97,3.81,18
7660,Budget-Conscious Mother,Tier-2,Medium,43,5.55,7.00,4.77,18
7661,Budget-Conscious Mother,Tier-2,Medium,63,6.95,8.54,3.17,18
7662,Budget-Conscious Mother,Tier-2,Medium,49,5.56,8.66,3.59,18
7663,Budget-Conscious Mother,Tier-2,Medium,18,6.48,8.89,4.39,18
7664,Budget-Conscious Mother,Tier-2,Medium,28,6.00,7.47,3.12,18
7665,Budget-Conscious Mother,Tier-2,Medium,36,6.30,7.63,3.43,18
7666,Budget-Conscious Mother,Tier-2,Medium,62,6.62,7.83,3.80,18
7667,Budget-Conscious Mother,Tier-2,Medium,39,5.77,7.71,3.62,18
7668,Budget-Conscious Mother,Tier-2,Medium,51,6.89,7.50,3.06,18
7669,Budget-Conscious Mother,Tier-2,Medium,30,5.08,8.78,4.75,18
7670,Budget-Conscious Mother,Tier-2,Medium,33,6.68,7.23,3.36,18
7671,Budget-Conscious Mother,Tier-2,Medium,18,6.16,8.68,3.34,18
7672,Budget-Conscious Mother,Tier-2,Medium,35,6.46,7.23,3.59,18
7673,Budget-Conscious Mother,Tier-2,Medium,64,6.55,8.94,3.98,18
7674,Budget-Conscious Mother,Tier-2,Medium,52,5.95,8.83,4.77,18
7675,Budget-Conscious Mother,Tier-2,Medium,64,6.94,8.65,3.08,18
7676,Budget-Conscious Mother,Tier-2,Medium,63,6.18,7.55,3.19,18
7677,Budget-Conscious Mother,Tier-2,Medium,29,5.75,7.14,4.81,18
7678,Budget-Conscious Mother,Tier-2,Medium,34,6.72,7.17,3.67,18
7679,Budget-Conscious Mother,Tier-2,Medium,18,6.66,8.45,4.95,18
7680,Budget-Conscious Mother,Tier-2,Medium,23,6.04,8.53,4.60,18
7681,Budget-Conscious Mother,Tier-2,Medium,51,5.16,7.68,3.55,18
7682,Budget-Conscious Mother,Tier-2,Medium,59,6.20,7.28,4.15,18
7683,Budget-Conscious Mother,Tier-2,Medium,50,6.54,7.45,3.60,18
7684,Budget-Conscious Mother,Tier-2,Medium,21,6.63,8.36,4.68,18
7685,Budget-Conscious Mother,Tier-2,Medium,33,6.44,7.51,3.64,18
7686,Budget-Conscious Mother,Tier-2,Medium,54,6.99,7.41,4.98,18
7687,Budget-Conscious Mother,Tier-2,Medium,23,6.98,8.85,3.22,18
7688,Budget-Conscious Mother,Tier-2,Medium,31,6.07,8.66,4.01,18
7689,Budget-Conscious Mother,Tier-2,Medium,63,6.81,7.08,3.93,18
7690,Budget-Conscious Mother,Tier-2,Medium,51,6.94,7.15,4.12,18
7691,Budget-Conscious Mother,Tier-2,Medium,22,5.57,8.70,3.52,18
7692,Budget-Conscious Mother,Tier-2,Medium,28,5.90,7.34,4.87,18
7693,Budget-Conscious Mother,Tier-2,Medium,29,5.63,8.11,3.03,18
7694,Budget-Conscious Mother,Tier-2,Medium,41,5.39,7.23,4.33,18
7695,Budget-Conscious Mother,Tier-2,Medium,55,5.37,8.21,3.52,18
7696,Budget-Conscious Mother,Tier-2,Medium,20,5.84,7.16,4.84,18
7697,Budget-Conscious Mother,Tier-2,Medium,61,5.11,8.98,3.69,18
7698,Budget-Conscious Mother,Tier-2,Medium,32,6.27,8.58,3.79,18
7699,Budget-Conscious Mother,Tier-2,Medium,50,6.82,8.39,3.44,18
7700,Budget-Conscious Mother,Tier-2,Medium,37,5.90,8.50,3.03,18
7701,Budget-Conscious Mother,Tier-2,Medium,23,6.55,8.23,4.76,18
7702,Budget-Conscious Mother,Tier-2,Medium,62,5.94,8.46,4.15,18
7703,Budget-Conscious Mother,Tier-2,Medium,18,6.98,8.42,3.62,18
7704,Budget-Conscious Mother,Tier-2,Medium,34,6.25,8.71,3.87,18
7705,Budget-Conscious Mother,Tier-2,Medium,46,6.86,7.69,3.94,18
7706,Budget-Conscious Mother,Tier-2,Medium,38,6.54,7.93,3.96,18
7707,Budget-Conscious Mother,Tier-2,Medium,43,5.26,7.26,3.91,18
7708,Budget-Conscious Mother,Tier-2,Medium,35,6.21,8.43,3.95,18
7709,Budget-Conscious Mother,Tier-2,Medium,31,6.40,7.01,3.99,18
7710,Budget-Conscious Mother,Tier-2,Medium,40,5.65,8.29,3.09,18
7711,Budget-Conscious Mother,Tier-2,Medium,25,6.37,8.58,4.83,18
7712,Budget-Conscious Mother,Tier-2,Medium,62,5.00,8.58,3.72,18
7713,Budget-Conscious Mother,Tier-2,Medium,62,6.69,7.19,3.54,18
7714,Budget-Conscious Mother,Tier-2,Medium,29,6.36,7.83,3.57,18
7715,Budget-Conscious Mother,Tier-2,Medium,28,6.13,7.26,4.68,18
7716,Budget-Conscious Mother,Tier-2,Medium,54,6.69,7.32,4.76,18
7717,Budget-Conscious Mother,Tier-2,Medium,40,6.63,8.39,3.20,18
7718,Budget-Conscious Mother,Tier-2,Medium,61,6.30,8.44,4.20,18
7719,Budget-Conscious Mother,Tier-2,Medium,30,5.54,7.11,4.84,18
7720,Budget-Conscious Mother,Tier-2,Medium,40,5.76,7.70,3.81,18
7721,Budget-Conscious Mother,Tier-2,Medium,55,5.83,8.03,4.39,18
7722,Budget-Conscious Mother,Tier-2,Medium,32,5.50,7.72,3.96,18
7723,Budget-Conscious Mother,Tier-2,Medium,29,6.20,8.67,3.07,18
7724,Budget-Conscious Mother,Tier-2,Medium,30,5.48,7.58,3.46,18
7725,Budget-Conscious Mother,Tier-2,Medium,41,5.25,8.03,4.05,18
7726,Budget-Conscious Mother,Tier-2,Medium,50,5.68,7.28,4.46,18
7727,Budget-Conscious Mother,Tier-2,Medium,22,5.01,8.60,4.23,18
7728,Budget-Conscious Mother,Tier-2,Medium,46,6.42,7.03,3.82,18
7729,Budget-Conscious Mother,Tier-2,Medium,63,5.73,7.89,4.78,18
7730,Budget-Conscious Mother,Tier-2,Medium,37,6.00,8.90,3.01,18
7731,Budget-Conscious Mother,Tier-2,Medium,63,5.46,7.97,4.42,18
7732,Budget-Conscious Mother,Tier-2,Medium,22,6.45,8.38,3.32,18
7733,Budget-Conscious Mother,Tier-2,Medium,59,5.22,7.36,3.39,18
7734,Budget-Conscious Mother,Tier-2,Medium,33,6.07,7.23,4.76,18
7735,Budget-Conscious Mother,Tier-2,Medium,42,6.10,8.54,4.68,18
7736,Budget-Conscious Mother,Tier-2,Medium,30,6.76,7.28,3.72,18
7737,Budget-Conscious Mother,Tier-2,Medium,24,5.77,8.97,3.74,18
7738,Budget-Conscious Mother,Tier-2,Medium,32,5.33,8.68,3.40,18
7739,Budget-Conscious Mother,Tier-2,Medium,56,6.59,7.41,3.25,18
7740,Budget-Conscious Mother,Tier-2,Medium,27,5.94,8.63,4.42,18
7741,Budget-Conscious Mother,Tier-2,Medium,58,5.62,7.05,3.87,18
7742,Budget-Conscious Mother,Tier-2,Medium,50,5.13,7.44,3.69,18
7743,Budget-Conscious Mother,Tier-2,Medium,43,6.31,8.92,4.76,18
7744,Budget-Conscious Mother,Tier-2,Medium,34,6.69,7.34,4.66,18
7745,Budget-Conscious Mother,Tier-2,Medium,31,6.70,8.84,3.18,18
7746,Budget-Conscious Mother,Tier-2,Medium,59,5.70,8.82,4.28,18
7747,Budget-Conscious Mother,Tier-2,Medium,52,6.33,7.31,3.15,18
7748,Budget-Conscious Mother,Tier-2,Medium,30,6.78,7.03,4.04,18
7749,Budget-Conscious Mother,Tier-2,Medium,44,6.16,8.48,4.78,18
7750,Budget-Conscious Mother,Tier-2,Medium,39,5.15,7.16,4.95,18
7751,Budget-Conscious Mother,Tier-2,Medium,21,6.77,8.94,3.74,18
7752,Budget-Conscious Mother,Tier-2,Medium,32,5.78,7.57,4.47,18
7753,Budget-Conscious Mother,Tier-2,Medium,57,5.83,7.17,4.54,18
7754,Budget-Conscious Mother,Tier-2,Medium,35,6.20,7.30,3.39,18
7755,Budget-Conscious Mother,Tier-2,Medium,60,6.06,8.80,3.49,18
7756,Budget-Conscious Mother,Tier-2,Medium,63,5.62,7.90,3.54,18
7757,Budget-Conscious Mother,Tier-2,Medium,33,6.78,8.46,4.44,18
7758,Budget-Conscious Mother,Tier-2,Medium,24,5.73,8.25,3.08,18
7759,Budget-Conscious Mother,Tier-2,Medium,34,6.80,8.53,4.98,18
7760,Budget-Conscious Mother,Tier-2,Medium,46,6.77,8.38,3.12,18
7761,Budget-Conscious Mother,Tier-2,Medium,40,5.10,7.03,4.31,18
7762,Budget-Conscious Mother,Tier-2,Medium,45,5.41,8.65,4.73,18
7763,Budget-Conscious Mother,Tier-2,Medium,31,6.84,7.44,4.86,18
7764,Budget-Conscious Mother,Tier-2,Medium,36,6.64,8.03,4.25,18
7765,Budget-Conscious Mother,Tier-2,Medium,33,6.32,8.70,4.97,18
7766,Budget-Conscious Mother,Tier-2,Medium,45,6.06,7.88,3.48,18
7767,Budget-Conscious Mother,Tier-2,Medium,20,6.91,7.82,3.77,18
7768,Budget-Conscious Mother,Tier-2,Medium,48,5.62,7.97,3.90,18
7769,Budget-Conscious Mother,Tier-2,Medium,40,5.13,7.95,4.27,18
7770,Budget-Conscious Mother,Tier-2,Medium,25,6.60,7.71,4.59,18
7771,Budget-Conscious Mother,Tier-2,Medium,39,6.16,7.45,3.43,18
7772,Budget-Conscious Mother,Tier-2,Medium,49,5.30,8.22,4.54,18
7773,Budget-Conscious Mother,Tier-2,Medium,44,5.92,7.56,3.71,18
7774,Budget-Conscious Mother,Tier-2,Medium,46,6.78,8.87,4.88,18
7775,Budget-Conscious Mother,Tier-2,Medium,18,6.85,8.75,3.82,18
7776,Budget-Conscious Mother,Tier-2,Medium,63,6.57,7.65,4.13,18
7777,Budget-Conscious Mother,Tier-2,Medium,38,6.10,7.50,3.14,18
7778,Budget-Conscious Mother,Tier-2,Medium,60,6.84,7.51,3.60,18
7779,Budget-Conscious Mother,Tier-2,Medium,22,6.21,7.80,3.48,18
7780,Budget-Conscious Mother,Tier-2,Medium,24,6.41,7.11,3.58,18
7781,Budget-Conscious Mother,Tier-2,Medium,58,6.55,7.35,4.73,18
7782,Budget-Conscious Mother,Tier-2,Medium,36,5.07,7.92,3.70,18
7783,Budget-Conscious Mother,Tier-2,Medium,30,5.43,8.58,3.73,18
7784,Budget-Conscious Mother,Tier-2,Medium,44,6.19,7.42,4.00,18
7785,Budget-Conscious Mother,Tier-2,Medium,57,6.87,8.00,3.60,18
7786,Budget-Conscious Mother,Tier-2,Medium,38,5.09,8.59,4.07,18
7787,Budget-Conscious Mother,Tier-2,Medium,54,6.76,7.32,4.25,18
7788,Budget-Conscious Mother,Tier-2,Medium,57,6.14,7.23,4.53,18
7789,Budget-Conscious Mother,Tier-2,Medium,57,5.87,8.94,3.56,18
7790,Budget-Conscious Mother,Tier-2,Medium,38,5.42,7.39,3.04,18
7791,Budget-Conscious Mother,Tier-2,Medium,56,6.79,7.15,4.09,18
7792,Budget-Conscious Mother,Tier-2,Medium,44,5.32,7.31,4.22,18
7793,Budget-Conscious Mother,Tier-2,Medium,64,5.56,8.42,4.88,18
7794,Budget-Conscious Mother,Tier-2,Medium,63,6.48,8.43,4.57,18
7795,Budget-Conscious Mother,Tier-2,Medium,50,5.08,8.24,4.53,18
7796,Budget-Conscious Mother,Tier-2,Medium,48,6.50,7.93,4.44,18
7797,Budget-Conscious Mother,Tier-2,Medium,23,5.02,7.12,3.09,18
7798,Budget-Conscious Mother,Tier-2,Medium,24,5.12,8.24,3.90,18
7799,Budget-Conscious Mother,Tier-2,Medium,38,6.60,8.53,4.93,18
7800,Budget-Conscious Mother,Tier-2,Medium,59,6.31,7.96,4.85,18
7801,Budget-Conscious Mother,Tier-2,Medium,57,6.51,7.59,3.36,18
7802,Budget-Conscious Mother,Tier-2,Medium,37,5.95,7.94,4.05,18
7803,Budget-Conscious Mother,Tier-2,Medium,56,5.67,8.08,3.38,18
7804,Budget-Conscious Mother,Tier-2,Medium,25,5.13,7.98,3.64,18
7805,Budget-Conscious Mother,Tier-2,Medium,23,6.32,7.26,4.90,18
7806,Budget-Conscious Mother,Tier-2,Medium,57,6.47,7.02,3.09,18
7807,Budget-Conscious Mother,Tier-2,Medium,25,5.28,8.41,3.71,18
7808,Budget-Conscious Mother,Tier-2,Medium,60,6.91,7.68,3.19,18
7809,Budget-Conscious Mother,Tier-2,Medium,24,6.91,8.56,3.83,18
7810,Budget-Conscious Mother,Tier-2,Medium,27,6.19,8.88,4.05,18
7811,Budget-Conscious Mother,Tier-2,Medium,54,5.20,7.59,4.83,18
7812,Budget-Conscious Mother,Tier-2,Medium,48,6.24,8.67,3.26,18
7813,Budget-Conscious Mother,Tier-2,Medium,35,5.93,7.84,4.44,18
7814,Budget-Conscious Mother,Tier-2,Medium,30,5.50,7.77,3.30,18
7815,Budget-Conscious Mother,Tier-2,Medium,40,6.36,8.15,4.26,18
7816,Budget-Conscious Mother,Tier-2,Medium,49,6.80,7.40,4.77,18
7817,Budget-Conscious Mother,Tier-2,Medium,48,6.46,8.06,4.15,18
7818,Budget-Conscious Mother,Tier-2,Medium,26,5.59,8.90,3.44,18
7819,Budget-Conscious Mother,Tier-2,Medium,18,6.04,7.55,3.21,18
7820,Budget-Conscious Mother,Tier-2,Medium,51,6.53,8.65,3.45,18
7821,Budget-Conscious Mother,Tier-2,Medium,22,5.59,8.16,3.05,18
7822,Budget-Conscious Mother,Tier-2,Medium,46,6.06,7.03,3.75,18
7823,Budget-Conscious Mother,Tier-2,Medium,38,5.24,8.87,4.51,18
7824,Budget-Conscious Mother,Tier-2,Medium,23,5.98,8.71,3.71,18
7825,Budget-Conscious Mother,Tier-2,Medium,34,5.04,8.17,3.79,18
7826,Budget-Conscious Mother,Tier-2,Medium,48,6.35,7.75,3.02,18
7827,Budget-Conscious Mother,Tier-2,Medium,23,6.03,7.28,4.70,18
7828,Budget-Conscious Mother,Tier-2,Medium,52,6.07,8.88,4.14,18
7829,Budget-Conscious Mother,Tier-2,Medium,29,6.16,8.94,3.50,18
7830,Budget-Conscious Mother,Tier-2,Medium,21,6.27,8.41,3.89,18
7831,Budget-Conscious Mother,Tier-2,Medium,61,5.03,8.61,3.30,18
7832,Budget-Conscious Mother,Tier-2,Medium,33,5.16,8.70,4.65,18
7833,Budget-Conscious Mother,Tier-2,Medium,61,6.43,8.21,3.63,18
7834,Budget-Conscious Mother,Tier-2,Medium,59,5.25,8.75,4.05,18
7835,Budget-Conscious Mother,Tier-2,Medium,22,6.35,8.38,3.81,18
7836,Budget-Conscious Mother,Tier-2,Medium,55,5.66,8.36,3.38,18
7837,Budget-Conscious Mother,Tier-2,Medium,44,5.61,8.84,3.20,18
7838,Budget-Conscious Mother,Tier-2,Medium,40,6.62,8.95,3.97,18
7839,Budget-Conscious Mother,Tier-2,Medium,44,5.94,7.18,4.64,18
7840,Budget-Conscious Mother,Tier-2,Medium,46,5.03,8.39,3.73,18
7841,Budget-Conscious Mother,Tier-2,Medium,33,5.83,8.35,3.04,18
7842,Budget-Conscious Mother,Tier-2,Medium,62,5.28,8.63,5.00,18
7843,Budget-Conscious Mother,Tier-2,Medium,46,6.50,7.84,3.43,18
7844,Budget-Conscious Mother,Tier-2,Medium,62,5.58,7.82,4.79,18
7845,Budget-Conscious Mother,Tier-2,Medium,45,5.85,7.64,4.67,18
7846,Budget-Conscious Mother,Tier-2,Medium,33,6.41,7.55,3.59,18
7847,Budget-Conscious Mother,Tier-2,Medium,48,6.82,7.35,4.78,18
7848,Budget-Conscious Mother,Tier-2,Medium,57,5.14,7.25,4.71,18
7849,Budget-Conscious Mother,Tier-2,Medium,43,5.36,7.81,3.12,18
7850,Budget-Conscious Mother,Tier-2,Medium,48,5.23,7.95,4.77,18
7851,Budget-Conscious Mother,Tier-2,Medium,61,6.72,7.91,4.67,18
7852,Budget-Conscious Mother,Tier-2,Medium,28,5.08,7.57,4.24,18
7853,Budget-Conscious Mother,Tier-2,Medium,20,6.27,8.27,3.38,18
7854,Budget-Conscious Mother,Tier-2,Medium,57,6.50,8.09,3.70,18
7855,Budget-Conscious Mother,Tier-2,Medium,55,5.14,7.62,3.12,18
7856,Budget-Conscious Mother,Tier-2,Medium,43,6.76,7.94,3.95,18
7857,Budget-Conscious Mother,Tier-2,Medium,62,5.98,8.32,3.19,18
7858,Budget-Conscious Mother,Tier-2,Medium,48,6.13,7.88,4.45,18
7859,Budget-Conscious Mother,Tier-2,Medium,49,5.74,7.34,4.77,18
7860,Budget-Conscious Mother,Tier-2,Medium,19,6.43,8.38,3.32,18
7861,Budget-Conscious Mother,Tier-2,Medium,62,5.13,8.33,3.36,18
7862,Budget-Conscious Mother,Tier-2,Medium,46,6.92,7.35,4.39,18
7863,Budget-Conscious Mother,Tier-2,Medium,48,6.69,8.37,4.00,18
7864,Budget-Conscious Mother,Tier-2,Medium,32,6.81,7.29,4.09,18
7865,Budget-Conscious Mother,Tier-2,Medium,57,6.27,7.51,3.37,18
7866,Budget-Conscious Mother,Tier-2,Medium,32,6.07,8.37,4.42,18
7867,Budget-Conscious Mother,Tier-2,Medium,50,5.97,7.12,3.57,18
7868,Budget-Conscious Mother,Tier-2,Medium,27,5.96,7.67,4.45,18
7869,Budget-Conscious Mother,Tier-2,Medium,39,5.13,8.29,4.63,18
7870,Budget-Conscious Mother,Tier-2,Medium,29,6.77,7.93,4.01,18
7871,Budget-Conscious Mother,Tier-2,Medium,54,5.01,7.23,3.34,18
7872,Budget-Conscious Mother,Tier-2,Medium,32,5.90,7.03,3.08,18
7873,Budget-Conscious Mother,Tier-2,Medium,57,6.14,8.32,3.57,18
7874,Budget-Conscious Mother,Tier-2,Medium,34,5.65,8.74,4.37,18
7875,Budget-Conscious Mother,Tier-2,Medium,48,6.44,8.32,4.02,18
7876,Budget-Conscious Mother,Tier-2,Medium,58,6.28,7.40,4.46,18
7877,Budget-Conscious Mother,Tier-2,Medium,58,5.66,8.90,3.82,18
7878,Budget-Conscious Mother,Tier-2,Medium,36,5.20,7.73,4.48,18
7879,Budget-Conscious Mother,Tier-2,Medium,62,6.87,7.18,3.13,18
7880,Budget-Conscious Mother,Tier-2,Medium,32,6.44,7.24,4.42,18
7881,Budget-Conscious Mother,Tier-2,Medium,36,6.62,8.49,4.45,18
7882,Budget-Conscious Mother,Tier-2,Medium,18,5.77,7.96,3.10,18
7883,Budget-Conscious Mother,Tier-2,Medium,26,5.87,7.57,4.32,18
7884,Budget-Conscious Mother,Tier-2,Medium,25,6.45,8.93,4.50,18
7885,Budget-Conscious Mother,Tier-2,Medium,60,5.66,7.84,3.76,18
7886,Budget-Conscious Mother,Tier-2,Medium,51,5.46,8.94,4.33,18
7887,Budget-Conscious Mother,Tier-2,Medium,55,5.37,8.81,3.33,18
7888,Budget-Conscious Mother,Tier-2,Medium,40,6.83,7.18,3.14,18
7889,Budget-Conscious Mother,Tier-2,Medium,32,6.95,8.92,3.67,18
7890,Budget-Conscious Mother,Tier-2,Medium,20,5.61,7.14,4.59,18
7891,Budget-Conscious Mother,Tier-2,Medium,27,5.35,8.09,4.74,18
7892,Budget-Conscious Mother,Tier-2,Medium,49,6.98,7.40,3.69,18
7893,Budget-Conscious Mother,Tier-2,Medium,58,5.88,8.84,4.12,18
7894,Budget-Conscious Mother,Tier-2,Medium,35,5.54,8.65,4.51,18
7895,Budget-Conscious Mother,Tier-2,Medium,45,6.40,8.03,3.03,18
7896,Budget-Conscious Mother,Tier-2,Medium,33,6.58,8.99,4.94,18
7897,Budget-Conscious Mother,Tier-2,Medium,63,5.62,7.39,3.51,18
7898,Budget-Conscious Mother,Tier-2,Medium,63,6.04,8.96,3.82,18
7899,Budget-Conscious Mother,Tier-2,Medium,43,5.07,8.34,4.79,18
7900,Budget-Conscious Mother,Tier-2,Medium,51,5.53,7.48,3.23,18
7901,Budget-Conscious Mother,Tier-2,Medium,22,5.66,7.45,4.32,18
7902,Budget-Conscious Mother,Tier-2,Medium,25,5.66,7.82,3.21,18
7903,Budget-Conscious Mother,Tier-2,Medium,56,5.34,7.42,3.02,18
7904,Budget-Conscious Mother,Tier-2,Medium,57,6.65,7.76,3.24,18
7905,Budget-Conscious Mother,Tier-2,Medium,37,5.10,7.36,3.74,18
7906,Budget-Conscious Mother,Tier-2,Medium,35,5.00,8.69,4.34,18
7907,Budget-Conscious Mother,Tier-2,Medium,41,5.52,7.42,3.77,18
7908,Budget-Conscious Mother,Tier-2,Medium,37,6.88,8.30,3.70,18
7909,Budget-Conscious Mother,Tier-2,Medium,63,6.62,7.30,3.32,18
7910,Budget-Conscious Mother,Tier-2,Medium,51,5.11,8.54,3.28,18
7911,Budget-Conscious Mother,Tier-2,Medium,25,6.95,7.52,3.59,18
7912,Budget-Conscious Mother,Tier-2,Medium,54,5.17,7.57,4.79,18
7913,Budget-Conscious Mother,Tier-2,Medium,50,6.06,7.42,3.32,18
7914,Budget-Conscious Mother,Tier-2,Medium,30,6.23,7.40,4.81,18
7915,Budget-Conscious Mother,Tier-2,Medium,24,6.49,7.88,3.27,18
7916,Budget-Conscious Mother,Tier-2,Medium,32,5.66,8.99,3.35,18
7917,Budget-Conscious Mother,Tier-2,Medium,32,5.16,8.00,4.30,18
7918,Budget-Conscious Mother,Tier-2,Medium,60,6.03,8.74,3.06,18
7919,Budget-Conscious Mother,Tier-2,Medium,55,6.30,8.71,3.22,18
7920,Budget-Conscious Mother,Tier-2,Medium,50,5.57,8.70,4.04,18
7921,Budget-Conscious Mother,Tier-2,Medium,30,5.61,7.93,4.54,18
7922,Budget-Conscious Mother,Tier-2,Medium,49,6.07,7.88,3.90,18
7923,Budget-Conscious Mother,Tier-2,Medium,52,6.26,8.63,3.71,18
7924,Budget-Conscious Mother,Tier-2,Medium,45,5.89,7.42,4.91,18
7925,Budget-Conscious Mother,Tier-2,Medium,32,6.40,7.04,3.62,18
7926,Budget-Conscious Mother,Tier-2,Medium,36,6.88,7.16,3.40,18
7927,Budget-Conscious Mother,Tier-2,Medium,45,6.25,7.67,3.76,18
7928,Budget-Conscious Mother,Tier-2,Medium,49,6.46,7.23,4.28,18
7929,Budget-Conscious Mother,Tier-2,Medium,56,5.31,8.19,3.55,18
7930,Budget-Conscious Mother,Tier-2,Medium,34,5.65,7.17,4.14,18
7931,Budget-Conscious Mother,Tier-2,Medium,30,6.59,7.67,3.25,18
7932,Budget-Conscious Mother,Tier-2,Medium,51,6.94,8.23,3.56,18
7933,Budget-Conscious Mother,Tier-2,Medium,57,6.10,7.05,3.62,18
7934,Budget-Conscious Mother,Tier-2,Medium,36,6.48,7.06,4.88,18
7935,Budget-Conscious Mother,Tier-2,Medium,21,5.25,7.05,4.15,18
7936,Budget-Conscious Mother,Tier-2,Medium,30,6.31,7.54,4.94,18
7937,Budget-Conscious Mother,Tier-2,Medium,41,5.60,7.16,3.54,18
7938,Budget-Conscious Mother,Tier-2,Medium,56,6.16,7.61,4.19,18
7939,Budget-Conscious Mother,Tier-2,Medium,32,5.48,7.96,4.23,18
7940,Budget-Conscious Mother,Tier-2,Medium,48,6.45,7.35,4.48,18
7941,Budget-Conscious Mother,Tier-2,Medium,44,5.04,8.04,4.68,18
7942,Budget-Conscious Mother,Tier-2,Medium,55,5.30,7.51,4.16,18
7943,Budget-Conscious Mother,Tier-2,Medium,56,5.41,8.17,3.42,18
7944,Budget-Conscious Mother,Tier-2,Medium,34,6.13,7.60,4.88,18
7945,Budget-Conscious Mother,Tier-2,Medium,62,5.37,7.98,4.07,18
7946,Budget-Conscious Mother,Tier-2,Medium,26,5.45,8.16,4.78,18
7947,Budget-Conscious Mother,Tier-2,Medium,62,6.45,7.18,4.16,18
7948,Budget-Conscious Mother,Tier-2,Medium,44,6.89,8.56,3.36,18
7949,Budget-Conscious Mother,Tier-2,Medium,29,6.56,8.37,4.39,18
7950,Budget-Conscious Mother,Tier-2,Medium,62,6.36,7.84,3.35,18
7951,Budget-Conscious Mother,Tier-2,Medium,37,6.14,7.06,3.51,18
7952,Budget-Conscious Mother,Tier-2,Medium,36,6.24,7.32,3.37,18
7953,Budget-Conscious Mother,Tier-2,Medium,58,5.18,7.02,4.46,18
7954,Budget-Conscious Mother,Tier-2,Medium,53,6.28,7.57,3.24,18
7955,Budget-Conscious Mother,Tier-2,Medium,59,5.21,7.51,4.14,18
7956,Budget-Conscious Mother,Tier-2,Medium,39,6.35,7.19,3.66,18
7957,Budget-Conscious Mother,Tier-2,Medium,48,6.17,8.09,3.89,18
7958,Budget-Conscious Mother,Tier-2,Medium,22,5.11,7.40,3.70,18
7959,Budget-Conscious Mother,Tier-2,Medium,30,6.53,8.28,4.81,18
7960,Budget-Conscious Mother,Tier-2,Medium,51,5.81,7.83,3.38,18
7961,Budget-Conscious Mother,Tier-2,Medium,63,6.46,7.94,4.66,18
7962,Budget-Conscious Mother,Tier-2,Medium,38,6.22,8.50,4.95,18
7963,Budget-Conscious Mother,Tier-2,Medium,48,5.71,8.82,4.70,18
7964,Budget-Conscious Mother,Tier-2,Medium,57,6.10,7.71,4.56,18
7965,Budget-Conscious Mother,Tier-2,Medium,61,5.33,7.47,3.48,18
7966,Budget-Conscious Mother,Tier-2,Medium,33,6.17,7.57,4.82,18
7967,Budget-Conscious Mother,Tier-2,Medium,51,6.66,8.54,4.88,18
7968,Budget-Conscious Mother,Tier-2,Medium,57,5.24,8.75,3.24,18
7969,Budget-Conscious Mother,Tier-2,Medium,48,6.27,8.34,4.82,18
7970,Budget-Conscious Mother,Tier-2,Medium,27,5.95,8.26,3.23,18
7971,Budget-Conscious Mother,Tier-2,Medium,52,5.73,8.78,4.45,18
7972,Budget-Conscious Mother,Tier-2,Medium,18,5.23,7.55,3.52,18
7973,Budget-Conscious Mother,Tier-2,Medium,53,5.81,8.69,4.37,18
7974,Budget-Conscious Mother,Tier-2,Medium,53,6.99,7.35,4.15,18
7975,Budget-Conscious Mother,Tier-2,Medium,31,6.67,8.65,4.03,18
7976,Budget-Conscious Mother,Tier-2,Medium,57,5.91,8.93,3.86,18
7977,Budget-Conscious Mother,Tier-2,Medium,23,5.22,7.50,3.51,18
7978,Budget-Conscious Mother,Tier-2,Medium,38,6.55,8.65,4.44,18
7979,Budget-Conscious Mother,Tier-2,Medium,49,6.77,8.99,4.81,18
7980,Budget-Conscious Mother,Tier-2,Medium,55,6.10,8.71,3.25,18
7981,Budget-Conscious Mother,Tier-2,Medium,50,5.94,7.38,4.41,18
7982,Budget-Conscious Mother,Tier-2,Medium,49,6.00,7.27,3.07,18
7983,Budget-Conscious Mother,Tier-2,Medium,44,5.88,7.92,4.48,18
7984,Budget-Conscious Mother,Tier-2,Medium,27,6.88,8.74,4.58,18
7985,Budget-Conscious Mother,Tier-2,Medium,35,6.36,7.97,3.84,18
7986,Budget-Conscious Mother,Tier-2,Medium,56,5.15,7.52,4.89,18
7987,Budget-Conscious Mother,Tier-2,Medium,43,5.53,7.16,3.09,18
7988,Budget-Conscious Mother,Tier-2,Medium,47,5.10,7.13,3.34,18
7989,Budget-Conscious Mother,Tier-2,Medium,64,5.33,8.04,4.10,18
7990,Budget-Conscious Mother,Tier-2,Medium,34,6.43,8.49,3.35,18
7991,Budget-Conscious Mother,Tier-2,Medium,60,6.31,7.46,4.08,18
7992,Budget-Conscious Mother,Tier-2,Medium,58,5.69,7.84,4.19,18
